key,dependencies,units,values,,,,,,,,,,
heat_sizing_factor,,,1,2,,,,,,,,,
cool_sizing_factor,,,1,2,,,,,,,,,
foundation_type,,,None,Full Slab,Interior Horizontal,Interior Vertical,Exterior Horizontal,Exterior Vertical,,,,,
foundation_insul,":foundation_type=>""Exterior Vertical""",R-IP,0,10,,,,,,,,,
slab_insulation_extent,":foundation_type=>""Exterior Vertical""",in,0,24,,,,,,,,,
below_grade_wall_insul,,R-IP,0,10,,,,,,,,,
roof_base_type,,,Insulation Entirely Above Deck,Metal Roof,Attic Roof with Wood Joists,Attic Roof with Steel Joists,Concrete Roof,,,,,,
roof_reflectance,,,0.2,0.8,,,,,,,,,
roof_emittance,,,0.25,0.95,,,,,,,,,
roof_base_cavity_insul,":roof_base_type=>""Attic Roof with Steel Joists""",R-IP,0,38,,,,,,,,,
roof_base_cont_insul,,R-IP,0,20,,,,,,,,,
roof_exterior_type,,,None,Roof Membrane,Metal Roof,Metal Decking,Asphalt Shingles,Wood Shingles,Tile,,,,
roof_interior_type,,,None,Metal Decking,Gypsum 1/2in,Gypsum 5/8in,,,,,,,
wall_base_type,,,Concrete MW Solid Grouted,Concrete NW Solid,Concrete MW Partially Grouted,Metal Panels,Steel Framing at 16 in. on center,Steel Framing at 24 in. on center,Wood Framing at 16 in. on center,Wood Framing at 24 in. on center,Concrete with Steel Framing,Concrete with Wood Framing,Granite 10in
wall_base_cavity_insul,,R-IP,0,19,,,,,,,,,
wall_base_cont_insul,,R-IP,0,10,,,,,,,,,
wall_exterior_type,,,None,Metal Siding,Wood Siding,Stucco,Brick Veneer,Concrete Block Veneer,Spandrel Glass,Stone Slab,,,
wall_interior_type,,,None,Gypsum 1/2in,Gypsum 5/8in,,,,,,,,
window_u,,U-IP,0.15,0.8,,,,,,,,,
window_shgc,,,0.25,0.6,,,,,,,,,
window_transmittance,,,0.2,0.8,,,,,,,,,
thermal_bridging,":roof_base_type=>""Attic Roof with Steel Joists""",,TRUE,FALSE,,,,,,,,,
air_leakage,,CFM/ft2,0.15,1.2,,,,,,,,,
lighting_density_dining,,W/ft2,0.5,2.5,,,,,,,,,
lighting_density_kitchen,,W/ft2,0.4,2,,,,,,,,,
equipment_density_dining,,W/ft2,10,20,,,,,,,,,
equipment_density_kitchen,,W/ft2,20,35,,,,,,,,,
gas_max_kitchen,,W,100000,200000,,,,,,,,,
occupant_density_dining,,1/ft2,0.01,0.2,,,,,,,,,
occupant_density_kitchen,,1/ft2,0.01,0.05,,,,,,,,,
dhw_kitchen,,GPM,0.5,1,,,,,,,,,
internal_mass_area_ratio,,,1,3,,,,,,,,,
heating_setpoint,,F,65,75,,,,,,,,,
cooling_setpoint,,F,70,80,,,,,,,,,
heating_setpoint_setback,,F,50,70,,,,,,,,,
cooling_setpoint_setup,,F,70,90,,,,,,,,,
heating_setpoint_kitchen,,F,65,75,,,,,,,,,
cooling_setpoint_kitchen,,F,70,80,,,,,,,,,
heating_setpoint_kitchen_setback,,F,50,70,,,,,,,,,
cooling_setpoint_kitchen_setup,,F,70,90,,,,,,,,,
oa_person_dining,,CFM,0,30,,,,,,,,,
oa_person_kitchen,,CFM,0,30,,,,,,,,,
oa_area_dining,,CFM/ft2,0,0.18,,,,,,,,,
oa_area_kitchen,,CFM/ft2,0,0.18,,,,,,,,,
fan_eff,,,0.4,0.7,,,,,,,,,
fan_rise,,in H2O,2,4,,,,,,,,,
fan_motor_eff,,,0.8,0.9,,,,,,,,,
heating_coil_eff_dining,,,0.75,0.95,,,,,,,,,
heating_coil_eff_kitchen,,,0.75,0.95,,,,,,,,,
cooling_coil_cop_dining,,,2,4,,,,,,,,,
cooling_coil_cop_kitchen,,,2,4,,,,,,,,,
economizer_type_dining,,,NoEconomizer,DifferentialDryBulb,,,,,,,,,
economizer_type_kitchen,,,NoEconomizer,DifferentialDryBulb,,,,,,,,,
economizer_high_limit_dining,,F,45,65,,,,,,,,,
economizer_lockout_dining,,,NoLockout,LockoutWithCompressor,LockoutWithHeating,,,,,,,,
economizer_high_limit_kitchen,,F,45,65,,,,,,,,,
economizer_lockout_kitchen,,,NoLockout,LockoutWithCompressor,LockoutWithHeating,,,,,,,,
night_cycle,,,FALSE,TRUE,,,,,,,,,
ext_light_w,,W,2000,3000,,,,,,,,,
control_option,,,ASTRONOMICALCLOCK,SCHEDULENAMEONLY,,,,,,,,,
water_heater_eff,,,0.75,0.95,,,,,,,,,
vestibule,,,TRUE,FALSE,,,,,,,,,