key,dependencies,units,values,,,
roof_base_cavity_insul,":roof_base_type=>""Attic Roof with Steel Joists""",R-IP,0,38,,
roof_base_cont_insul,,R-IP,0,20,,
wall_base_cavity_insul,,R-IP,0,19,,
wall_base_cont_insul,,R-IP,0,10,,
window_u,,U-IP,0.15,0.8,,
window_shgc,,,0.25,0.75,,
air_leakage,,CFM/ft2,0.15,1.2,,
lighting_density_bath,,W/ft2,0.5,2,,
lighting_density_cafeteria,,W/ft2,0.5,2,,
lighting_density_classroom,,W/ft2,0.5,2,,
lighting_density_computer,,W/ft2,0.5,2,,
lighting_density_corridor,,W/ft2,0.5,2,,
lighting_density_gym,,W/ft2,0.5,2,,
lighting_density_kitchen,,W/ft2,0.5,2,,
lighting_density_library,,W/ft2,0.5,2,,
lighting_density_lobby,,W/ft2,0.5,2,,
lighting_density_mechanical,,W/ft2,0.5,2,,
lighting_density_office,,W/ft2,0.5,2,,
equipment_density_bath,,W/ft2,0,1,,
equipment_density_cafeteria,,W/ft2,1,3,,
equipment_density_classroom,,W/ft2,0.5,2,,
equipment_density_computer,,W/ft2,1,3,,
equipment_density_corridor,,W/ft2,0.2,1,,
equipment_density_gym,,W/ft2,0.2,1.5,,
equipment_density_kitchen,,W/ft2,10,25,,
equipment_density_library,,W/ft2,0.5,2,,
equipment_density_lobby,,W/ft2,0.2,1,,
equipment_density_mechanical,,W/ft2,0.2,1,,
equipment_density_office,,W/ft2,0.5,2,,
gas_max_kitchen,,W,100000,200000,,
dhw_bath,,GPM,0.5,2,,
dhw_kitchen,,GPM,1,3,,
heating_setpoint,,F,65,75,,
cooling_setpoint,,F,70,80,,
heating_setpoint_setback,,F,50,70,,
cooling_setpoint_setup,,F,70,90,,
oa_person_bath,,CFM,0,30,,
oa_person_cafeteria,,CFM,0,30,,
oa_person_classroom,,CFM,0,30,,
oa_person_computer,,CFM,0,30,,
oa_person_corridor,,CFM,0,30,,
oa_person_gym,,CFM,0,30,,
oa_person_kitchen,,CFM,0,30,,
oa_person_library,,CFM,0,30,,
oa_person_lobby,,CFM,0,30,,
oa_person_mechanical,,CFM,0,30,,
oa_person_office,,CFM,0,30,,
oa_area_bath,,CFM/ft2,0,0.18,,
oa_area_cafeteria,,CFM/ft2,0,0.18,,
oa_area_classroom,,CFM/ft2,0,0.18,,
oa_area_computer,,CFM/ft2,0,0.18,,
oa_area_corridor,,CFM/ft2,0,0.18,,
oa_area_gym,,CFM/ft2,0,0.18,,
oa_area_kitchen,,CFM/ft2,0,0.18,,
oa_area_library,,CFM/ft2,0,0.18,,
oa_area_lobby,,CFM/ft2,0,0.18,,
oa_area_mechanical,,CFM/ft2,0,0.18,,
oa_area_office,,CFM/ft2,0,0.18,,
vav_oa_economizer,,,FALSE,TRUE,,
vav_night_cycle,,,FALSE,TRUE,,
vav_return_fan,,,FALSE,TRUE,,
vav_sat_reset_control,,,NONE,SCHEDULE,OUTDOORTEMP,WARMEST
boiler_eff,,,0.6,0.85,,
chiller_cop,,,4.5,6.5,,
water_heater_eff,,,0.6,0.85,,