Parameter,Total Annual,Elec Annual,Gas Annual,Diff,Elec Jan,Elec Feb,Elec Mar,Elec Apr,Elec May,Elec Jun,Elec Jul,Elec Aug,Elec Sep,Elec Oct,Elec Nov,Elec Dec,Gas Jan,Gas Feb,Gas Mar,Gas Apr,Gas May,Gas Jun,Gas Jul,Gas Aug,Gas Sep,Gas Oct,Gas Nov,Gas Dec,Var
occupant_density_finestorage,0.8359,0.8537,0.7623,0.0819,0.8443,0.8459,0.8433,0.8534,0.8554,0.8616,0.8700,0.8654,0.8600,0.8496,0.8435,0.8456,0.8386,0.8058,0.7588,0.7032,0.5543,0.6739,0.9316,0.7481,0.5717,0.4444,0.7497,0.7903,0.135427774
ext_light_w,0.5652,0.6480,0.0000,0.7046,0.7046,0.6848,0.6516,0.6206,0.5830,0.5461,0.5737,0.5887,0.6459,0.6751,0.6960,0.7178,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
roof_base_cont_insul,0.4883,0.4851,0.4964,0.0269,0.4695,0.4717,0.4650,0.4841,0.4896,0.5008,0.5225,0.5037,0.4935,0.4741,0.4674,0.4725,0.6313,0.5938,0.3648,0.1474,0.1412,0.3189,0.2667,0.0112,0.1245,0.1165,0.4552,0.6015,0.215453637
lighting_density_bulkstorage,0.3035,0.4013,0.0258,0.3689,0.3948,0.3975,0.4068,0.4037,0.4098,0.4131,0.4003,0.4027,0.3996,0.3988,0.3977,0.3901,0.0119,0.0640,0.0002,0.0004,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0002,0.0680,0.025384395
fan_rise_finestorage,0.1278,0.3680,0.4045,0.0426,0.3619,0.3642,0.3565,0.3739,0.3702,0.3694,0.3873,0.3690,0.3729,0.3663,0.3597,0.3653,0.3675,0.3499,0.4231,0.4548,0.4887,0.4537,0.5179,0.5508,0.4293,0.4795,0.4222,0.3671,0.061818561
lighting_density_finestorage,0.1534,0.3421,0.3985,0.0646,0.3338,0.3362,0.3398,0.3431,0.3468,0.3514,0.3527,0.3525,0.3435,0.3378,0.3351,0.3322,0.3519,0.3347,0.4210,0.4462,0.4804,0.4901,0.5575,0.5833,0.4835,0.4838,0.4208,0.3474,0.079370969
equipment_density_bulkstorage,0.2047,0.2685,0.0118,0.2520,0.2639,0.2658,0.2733,0.2696,0.2746,0.2774,0.2668,0.2706,0.2669,0.2665,0.2664,0.2602,0.0034,0.0356,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0287,0.012439607
occupant_density_office,0.2195,0.2472,0.1377,0.0735,0.2112,0.2197,0.2370,0.2453,0.2627,0.2767,0.2751,0.2872,0.2614,0.2446,0.2255,0.2084,0.1325,0.0857,0.1404,0.1752,0.2305,0.2468,0.3206,0.4506,0.2536,0.1862,0.0929,0.0857,0.10865116
fan_eff_finestorage,0.0735,0.2188,0.3206,0.1061,0.2145,0.2158,0.2114,0.2215,0.2198,0.2205,0.2319,0.2214,0.2221,0.2171,0.2133,0.2165,0.2781,0.2612,0.3319,0.3584,0.3794,0.4381,0.5786,0.6111,0.4334,0.3789,0.3310,0.2808,0.111908229
internal_mass_area_ratio,0.0933,0.0955,0.0876,0.0068,0.0944,0.0949,0.0934,0.0971,0.0953,0.0943,0.0988,0.0972,0.0956,0.0957,0.0942,0.0951,0.0334,0.0045,0.1069,0.1554,0.2576,0.2659,0.0303,0.1298,0.2527,0.2589,0.1049,0.0016,0.104246361
wall_base_cont_insul,0.1127,0.0877,0.1739,0.0889,0.0849,0.0854,0.0831,0.0879,0.0877,0.0891,0.0960,0.0932,0.0899,0.0854,0.0840,0.0858,0.2351,0.2025,0.1558,0.1088,0.0431,0.0521,0.0000,0.0722,0.0395,0.1100,0.1791,0.2172,0.078694806
fan_rise_intakevent_bulkstorage,0.0516,0.0721,0.0059,0.0657,0.0717,0.0716,0.0706,0.0739,0.0730,0.0723,0.0745,0.0697,0.0731,0.0725,0.0712,0.0723,0.0021,0.0184,0.0000,0.0004,0.0007,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0137,0.006195156
lighting_density_office,0.0296,0.0675,0.0670,0.0022,0.0648,0.0654,0.0673,0.0673,0.0691,0.0711,0.0701,0.0715,0.0683,0.0662,0.0655,0.0637,0.0543,0.0522,0.0745,0.0861,0.1013,0.0918,0.0742,0.0671,0.0785,0.0910,0.0722,0.0546,0.015952359
roof_reflectance,0.0107,0.0672,0.1274,0.0630,0.0644,0.0647,0.0633,0.0673,0.0672,0.0685,0.0752,0.0723,0.0688,0.0653,0.0639,0.0650,0.1002,0.1100,0.1419,0.1685,0.1948,0.1864,0.1916,0.1732,0.1472,0.1520,0.1229,0.1034,0.034378771
roof_emittance,0.0017,0.0487,0.1250,0.0785,0.0464,0.0467,0.0457,0.0486,0.0489,0.0501,0.0548,0.0530,0.0504,0.0471,0.0460,0.0469,0.1057,0.1130,0.1321,0.1416,0.1446,0.1420,0.1658,0.1697,0.1492,0.1405,0.1266,0.1218,0.01926176
fan_rise_office,0.0137,0.0478,0.0752,0.0302,0.0450,0.0455,0.0464,0.0462,0.0489,0.0521,0.0516,0.0539,0.0494,0.0459,0.0448,0.0440,0.0654,0.0582,0.0880,0.0997,0.1105,0.0925,0.0562,0.0399,0.0739,0.1012,0.0826,0.0605,0.021728793
wall_base_type,0.0126,0.0331,0.0764,0.0430,0.0334,0.0336,0.0328,0.0341,0.0332,0.0325,0.0333,0.0316,0.0328,0.0337,0.0332,0.0338,0.0653,0.0693,0.0924,0.0918,0.0780,0.0775,0.1867,0.2022,0.1117,0.0823,0.0686,0.0682,0.046391788
equipment_density_office,0.0123,0.0324,0.0394,0.0089,0.0305,0.0308,0.0320,0.0318,0.0330,0.0347,0.0343,0.0354,0.0331,0.0315,0.0311,0.0301,0.0331,0.0306,0.0458,0.0519,0.0565,0.0451,0.0324,0.0257,0.0382,0.0527,0.0436,0.0333,0.009929661
air_leakage,0.2632,0.0207,0.6428,0.6184,0.0244,0.0244,0.0224,0.0227,0.0212,0.0185,0.0149,0.0120,0.0185,0.0218,0.0230,0.0248,0.6967,0.6941,0.6153,0.5895,0.5355,0.4263,0.5421,0.5957,0.4331,0.5316,0.6277,0.6851,0.091697128
roof_exterior_type,0.0071,0.0173,0.0283,0.0118,0.0165,0.0167,0.0162,0.0173,0.0173,0.0178,0.0195,0.0188,0.0175,0.0168,0.0164,0.0168,0.0192,0.0229,0.0338,0.0432,0.0604,0.0620,0.0481,0.0335,0.0347,0.0389,0.0262,0.0166,0.014823228
wall_exterior_type,0.0088,0.0158,0.0479,0.0330,0.0149,0.0149,0.0147,0.0155,0.0159,0.0164,0.0182,0.0182,0.0165,0.0152,0.0148,0.0150,0.0484,0.0528,0.0524,0.0526,0.0679,0.0675,0.0727,0.0824,0.0478,0.0483,0.0458,0.0481,0.012129539
wall_base_cavity_insul,0.0091,0.0149,0.0732,0.0584,0.0148,0.0147,0.0145,0.0154,0.0151,0.0149,0.0154,0.0143,0.0150,0.0149,0.0146,0.0149,0.0853,0.0775,0.0757,0.0638,0.0460,0.0254,0.0334,0.0462,0.0408,0.0658,0.0808,0.0792,0.020675427
fan_eff_office,0.0038,0.0154,0.0262,0.0118,0.0145,0.0146,0.0150,0.0148,0.0155,0.0167,0.0166,0.0174,0.0158,0.0146,0.0145,0.0141,0.0219,0.0212,0.0304,0.0351,0.0392,0.0302,0.0177,0.0112,0.0262,0.0354,0.0285,0.0217,0.008157367
roof_base_type,0.0005,0.0141,0.0391,0.0245,0.0146,0.0147,0.0144,0.0147,0.0141,0.0133,0.0128,0.0124,0.0138,0.0148,0.0146,0.0148,0.0276,0.0398,0.0459,0.0465,0.0366,0.0480,0.1483,0.1461,0.0766,0.0366,0.0278,0.0334,0.04296951
below_grade_wall_insul,0.0011,0.0084,0.0261,0.0178,0.0083,0.0084,0.0084,0.0089,0.0086,0.0084,0.0083,0.0077,0.0086,0.0086,0.0085,0.0085,0.0461,0.0339,0.0257,0.0143,0.0034,0.0169,0.0393,0.0430,0.0063,0.0160,0.0269,0.0320,0.014079604
wall_interior_type,0.0036,0.0055,0.0274,0.0226,0.0048,0.0049,0.0047,0.0052,0.0054,0.0059,0.0070,0.0070,0.0060,0.0050,0.0048,0.0048,0.0089,0.0125,0.0341,0.0513,0.0828,0.0959,0.0588,0.0300,0.0755,0.0618,0.0215,0.0074,0.03035506
flow_area_intakevent_bulkstorage,0.0146,0.0047,0.0395,0.0347,0.0048,0.0049,0.0046,0.0049,0.0048,0.0046,0.0049,0.0045,0.0048,0.0047,0.0047,0.0050,0.0428,0.1024,0.0002,0.0004,0.0007,0.0000,0.0000,0.0000,0.0011,0.0000,0.0002,0.0767,0.03567159
roof_interior_type,0.0068,0.0042,0.0350,0.0312,0.0038,0.0038,0.0036,0.0039,0.0043,0.0046,0.0057,0.0055,0.0047,0.0037,0.0036,0.0037,0.0171,0.0169,0.0416,0.0585,0.0931,0.1014,0.0546,0.0296,0.0838,0.0708,0.0300,0.0143,0.030877187
window_shgc,0.0029,0.0044,0.0217,0.0182,0.0035,0.0035,0.0037,0.0039,0.0045,0.0051,0.0061,0.0066,0.0052,0.0040,0.0035,0.0035,0.0156,0.0167,0.0286,0.0357,0.0390,0.0290,0.0276,0.0258,0.0251,0.0318,0.0207,0.0134,0.00795767
cooling_coil_cop_finestorage,0.0064,0.0088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0019,0.0032,0.0088,0.0286,0.0495,0.0089,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
fan_eff_intakevent_bulkstorage,0.0007,0.0013,0.0008,0.0005,0.0013,0.0013,0.0012,0.0014,0.0013,0.0013,0.0013,0.0012,0.0012,0.0014,0.0013,0.0013,0.0002,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,0.000945279
vestibule,0.0030,0.0009,0.0083,0.0073,0.0010,0.0010,0.0010,0.0009,0.0010,0.0009,0.0008,0.0009,0.0009,0.0009,0.0009,0.0010,0.0075,0.0083,0.0094,0.0095,0.0109,0.0086,0.0051,0.0037,0.0074,0.0091,0.0086,0.0073,0.001955758
cooling_coil_cop_office,0.0029,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0018,0.0051,0.0121,0.0198,0.0065,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
economizer_max_oa_frac,0.1092,0.0037,0.4027,0.4026,0.0001,0.0000,0.0001,0.0008,0.0026,0.0081,0.0125,0.0127,0.0065,0.0009,0.0000,0.0001,0.3030,0.2722,0.3979,0.4940,0.6852,0.9028,0.9923,1.0000,0.9117,0.5974,0.3883,0.2677,0.288102523
economizer_type_finestorage,0.0487,0.0020,0.1803,0.1801,0.0001,0.0000,0.0001,0.0004,0.0013,0.0041,0.0070,0.0073,0.0032,0.0004,0.0000,0.0001,0.0664,0.0667,0.1546,0.2492,0.4464,0.7491,0.9412,0.9775,0.7404,0.3463,0.1436,0.0581,0.351042848
hi_radiant,0.0160,0.0007,0.0538,0.0533,0.0005,0.0008,0.0000,0.0004,0.0006,0.0017,0.0028,0.0036,0.0005,0.0001,0.0000,0.0008,0.1485,0.0132,0.0551,0.0297,0.0366,0.0135,0.0128,0.0599,0.0628,0.0508,0.0533,0.0129,0.037918822
oa_area_finestorage,0.4108,0.0022,0.7982,0.7960,0.0000,0.0000,0.0000,0.0003,0.0012,0.0042,0.0088,0.0072,0.0047,0.0001,0.0000,0.0000,0.8165,0.7777,0.8107,0.8083,0.8083,0.7663,0.7898,0.8328,0.7620,0.8011,0.8081,0.7818,0.021470944
window_u,0.0037,0.0002,0.0137,0.0137,0.0000,0.0000,0.0001,0.0001,0.0001,0.0004,0.0004,0.0005,0.0003,0.0001,0.0000,0.0000,0.0140,0.0115,0.0141,0.0151,0.0149,0.0111,0.0077,0.0075,0.0106,0.0151,0.0140,0.0150,0.002821821
economizer_high_limit,0.0145,0.0022,0.0573,0.0573,0.0000,0.0000,0.0000,0.0001,0.0006,0.0032,0.0089,0.0100,0.0033,0.0001,0.0000,0.0000,0.0003,0.0035,0.0126,0.0393,0.1049,0.3774,0.7439,0.7347,0.4041,0.0887,0.0300,0.0061,0.282908951
oa_area_office,0.0543,0.0009,0.1751,0.1748,0.0003,0.0001,0.0001,0.0001,0.0006,0.0018,0.0028,0.0022,0.0023,0.0005,0.0000,0.0003,0.1636,0.1421,0.1922,0.2083,0.2388,0.2223,0.1762,0.1765,0.2090,0.2171,0.1809,0.1439,0.030781218
economizer_type_office,0.0005,0.0002,0.0023,0.0023,0.0000,0.0000,0.0000,0.0000,0.0001,0.0003,0.0005,0.0006,0.0004,0.0000,0.0000,0.0000,0.0008,0.0009,0.0034,0.0051,0.0101,0.0073,0.0051,0.0074,0.0084,0.0077,0.0023,0.0007,0.003282084
oa_person_finestorage,0.0200,0.0001,0.0703,0.0703,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0005,0.0005,0.0003,0.0000,0.0000,0.0000,0.0751,0.0637,0.0750,0.0743,0.0710,0.0571,0.0665,0.0753,0.0596,0.0707,0.0741,0.0672,0.006317777
oa_person_office,0.0043,0.0002,0.0159,0.0158,0.0001,0.0000,0.0000,0.0000,0.0001,0.0004,0.0005,0.0004,0.0003,0.0001,0.0000,0.0000,0.0166,0.0109,0.0191,0.0200,0.0195,0.0122,0.0051,0.0075,0.0116,0.0190,0.0180,0.0149,0.005026071
occupant_density_bulkstorage,0.0049,0.0000,0.0178,0.0176,0.0001,0.0003,0.0000,0.0000,0.0000,0.0001,0.0003,0.0001,0.0001,0.0001,0.0000,0.0003,0.0018,0.0644,0.0000,0.0004,0.0020,0.0000,0.0000,0.0000,0.0000,0.0009,0.0002,0.0357,0.02024792
heating_coil_type,0.0049,0.0053,0.0176,0.0161,0.0015,0.0397,0.0000,0.0000,0.0000,0.0001,0.0001,0.0001,0.0000,0.0001,0.0000,0.0237,0.0020,0.0644,0.0002,0.0000,0.0007,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0357,0.020297358
annual_irrigation_factor,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
boiler_eff,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
boiler_type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
chp_elec_eff,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
chp_therm_eff,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
cooling_coil_condensate,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
cooling_coil_type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
fan_motor_eff_bulkstorage,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
fan_motor_eff_finestorage,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
fan_motor_eff_office,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
foundation_insul,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
graywater_recycling,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
heating_coil_cop_finestorage,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
heating_coil_cop_office,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
heating_source,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
hi_radiant_eff,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
hi_radiant_fueltype,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
hw_lo_outdoor_temp,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
irrigation_system_efficiency,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
loss_factor,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
night_cycle_storage,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
oa_person_bulkstorage,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rainwater_harvest,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
slab_insulation_extent,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
supply_fan_type_rtu,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
supply_hw_temp_at_hi,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
thermal_bridging,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
top_daylighting,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
window_transmittance,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
fan_eff_bulkstorage,0.0000,0.0000,0.0000,0.0001,0.0001,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.000126071
roof_base_cavity_insul,0.0001,0.0001,0.0003,0.0002,0.0001,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.000378049
fan_rise_bulkstorage,0.0002,0.0011,0.0037,0.0028,0.0009,0.0070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0057,0.0013,0.0103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0095,0.00382068
night_cycle,0.0014,0.0002,0.0047,0.0041,0.0006,0.0006,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0006,0.0054,0.0135,0.0005,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0023,0.0070,0.004228838
heating_coil_eff,0.1642,0.0000,0.4465,0.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4427,0.4444,0.4432,0.4452,0.4525,0.4629,0.4704,0.4736,0.4652,0.4514,0.4457,0.4442,0.011440511
oa_area_bulkstorage,0.0050,0.0003,0.0171,0.0169,0.0003,0.0023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0018,0.0016,0.0636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0347,0.020055083
heating_coil_eff_office,0.0180,0.0000,0.0625,0.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0706,0.0670,0.0693,0.0652,0.0489,0.0253,0.0076,0.0000,0.0209,0.0522,0.0641,0.0671,0.025969958
foundation_type,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!